problema;modelo;ub_cmax;fl_ub_cmax;num_maquina;num_jobs;number_of_constraints;number_of_variables;best_bound;funcao_objetivo;number_of_var_values;has_hit_limit;mip_relative_gap;nb_iterations;nb_nodes_processed;nb_linear_nonzeros;status;time;fl_inteiro
ID026_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;;1151,0;2431;False;;2430;0;23600;optimal;0,9580178260803223;False
ID027_M020_J020;manne;0;s/ ub;20;20;8000;4201;1339,5436587250201;1694,9999999919999;2202;True;0,20970875591069998;97505960;400116;23600;time limit exceeded;7200,015261888504;True
ID027_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;1394,4466669811768;1674,999999998;2173;True;0,1674945271744128;164393817;2476260;23600;time limit exceeded;7202,31876206398;True
ID027_M020_J020;manne;0;s/ ub;20;20;8000;4201;;1170,0;2411;False;;2410;0;23600;optimal;0,06725716590881348;False
ID027_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;;1170,0;2411;False;;2410;0;23600;optimal;0,9598250389099121;False
ID028_M020_J020;manne;0;s/ ub;20;20;8000;4201;1357,4658969424825;1644,9999999999998;2355;True;0,17479276781610933;102232332;436698;23600;time limit exceeded;7200,016570091248;True
ID028_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;1357,2103783764874;1696,0;2377;True;0,19975803161762537;105377660;476112;23600;time limit exceeded;7200,895573139191;True
ID028_M020_J020;manne;0;s/ ub;20;20;8000;4201;;1207,0;2517;False;;2516;0;23600;optimal;0,07295703887939453;False
ID028_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;;1207,0;2517;False;;2516;0;23600;optimal;0,9645569324493408;False
ID029_M020_J020;manne;0;s/ ub;20;20;8000;4201;1447,740610834086;1732,0;2206;True;0,16412204917199627;103028322;473251;23600;time limit exceeded;7200,018090009689;True
ID029_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;1444,3762376237623;1729,0;2161;True;0,1646175606571551;93264977;371426;23600;time limit exceeded;7200,780899047852;True
ID029_M020_J020;manne;0;s/ ub;20;20;8000;4201;;1291,0;2417;False;;2416;0;23600;optimal;0,09464097023010254;False
ID029_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;;1291,0;2417;False;;2416;0;23600;optimal;0,9523758888244629;False
ID030_M020_J020;manne;0;s/ ub;20;20;8000;4201;1418,9999999999998;1587,0;2233;True;0,10586011342154357;100118442;369634;23600;time limit exceeded;7200,012722015381;True
ID030_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;1429,4734365572829;1605,0;2221;True;0,10936234482411601;113948579;443703;23600;time limit exceeded;7200,901542901993;True
ID030_M020_J020;manne;0;s/ ub;20;20;8000;4201;;1221,0;2428;False;;2427;0;23600;optimal;0,06580996513366699;False
ID030_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;;1221,0;2428;False;;2427;0;23600;optimal;0,959028959274292;False
ID031_M020_J020;manne;0;s/ ub;20;20;8000;4201;1410,563634122377;1696,9999999999998;2261;True;0,1687898443592257;102169112;453821;23600;time limit exceeded;7200,01345205307;True
ID031_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;1418,9999999999982;1708,9999999999998;2350;True;0,1696898771211145;122102534;721875;23600;time limit exceeded;7200,897193193436;True
ID031_M020_J020;manne;0;s/ ub;20;20;8000;4201;;1227,0;2432;False;;2431;0;23600;optimal;0,07130718231201172;False
ID031_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;;1227,0;2432;False;;2431;0;23600;optimal;0,9534130096435547;False
ID032_M020_J020;manne;0;s/ ub;20;20;8000;4201;1391,453125;1662,0000000000011;2157;True;0,1627839199759234;101744859;422878;23600;time limit exceeded;7200,01527094841;True
ID032_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;1385,9999999999998;1654,0000000000002;2136;True;0,16203143893590338;100683295;427046;23600;time limit exceeded;7200,772220134735;True
ID032_M020_J020;manne;0;s/ ub;20;20;8000;4201;;1212,0;2435;False;;2434;0;23600;optimal;0,07010412216186523;False
ID032_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;;1212,0;2435;False;;2434;0;23600;optimal;0,9593620300292969;False
